model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,feat_mask_rate,edge_drop_rate,mlp_use,val_acc
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.37147147953510284
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2954955011606216
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.0,False,0.2432432472705841
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7117117285728455
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.7063063204288482
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.0,False,0.6750750958919525
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7252252459526062
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7048048138618469
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.0,False,0.7135135293006897
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7297297537326812
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7297297477722168
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.0,False,0.7189189374446869
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.732732754945755
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7324324607849121
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.0,False,0.7420420587062836
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7231231451034545
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7294294655323028
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.0,False,0.7360360503196717
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.6381381571292877
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.5981982111930847
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.1,False,0.5690690875053406
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7135135233402252
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7180180430412293
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.1,False,0.7042042076587677
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7288288533687591
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7186186254024506
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.1,False,0.7363363564014435
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7276276469230651
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7105105221271515
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.1,False,0.7321321606636048
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7249249517917633
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7378378629684448
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.1,False,0.7363363564014435
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.738738763332367
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.736036068201065
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.1,False,0.7315315485000611
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.6876877009868622
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.6498498678207397
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.2,False,0.6336336553096771
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.7261261463165283
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.7165165305137634
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.2,False,0.705705714225769
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.722222238779068
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.7261261522769928
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.2,False,0.7426426708698273
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.7261261522769928
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.7378378689289093
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.2,False,0.7303303599357605
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.732732766866684
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.738738763332367
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.2,False,0.7357357501983642
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7252252578735352
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7498498797416687
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.2,False,0.7408408641815185
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.7231231331825256
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.6804804980754853
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.3,False,0.6213213264942169
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7366366565227509
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7258258521556854
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.3,False,0.7081081211566925
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.732732754945755
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.7384384632110595
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.3,False,0.738438469171524
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.7333333492279053
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.7342342495918274
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.3,False,0.7420420706272125
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.725825846195221
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7321321606636048
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.3,False,0.7612612783908844
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7213213384151459
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7333333492279053
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.3,False,0.7459459722042083
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.7234234511852264
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.6990991175174713
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.4,False,0.6501501739025116
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.7375375688076019
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.7414414644241333
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.4,False,0.7255255520343781
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.7282282531261444
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.7342342674732208
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.4,False,0.7414414644241333
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.7312312543392181
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.7315315485000611
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.4,False,0.740840858221054
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.7129129290580749
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.7495495736598968
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.4,False,0.7477477729320526
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.7381381630897522
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.7366366565227509
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.4,False,0.737537556886673
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.7504504799842835
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.7018018126487732
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.0,0.5,False,0.6588588714599609
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.7177177369594574
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.7387387692928314
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.1,0.5,False,0.7198198437690735
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.7369369626045227
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.7375375628471375
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.2,0.5,False,0.7465465784072876
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.7324324607849121
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.7300300538539887
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.3,0.5,False,0.7333333551883697
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.727927953004837
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.7393393635749816
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.4,0.5,False,0.7390390574932099
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7360360562801361
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7264264523983002
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,256,0.5,0.5,False,0.7339339435100556
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.381681689620018
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.3306306391954422
SelfGCon,CiteSeer,100,1,0.5,0.001,1e-05,0.01,0.0001,512,0.0,0.0,False,0.25075075924396517
SelfGCon,CiteSeer,20,1,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7345345616340637
SelfGCon,CiteSeer,50,1,0.5,0.001,1e-05,0.01,0.0001,512,0.1,0.0,False,0.7135135233402252
